PLID,PLListID,PLPartID,PLItem,PLQty,PLRefMemo,PLRefText,PLAssyOrder,PLAssySpec,PLMFRPNID,PLMFRID,PLSUID,PLLNKID
4,1,2,2,"1",,,,,,,,
5,2,7,10,"1","R1",,,,,,,
6,2,8,9,"1","R2",,,,,,,
7,2,9,8,"1","C1",,,,,,,
8,2,10,7,"1","C2",,,,,,,
9,2,11,6,"1","C3",,,,,,,
10,2,12,5,"1","D1",,,,,,,
11,2,13,4,"1","VC1",,,,,,,
12,2,14,3,"1","J1",,,,,,,
13,2,15,2,"1","PCB",,,,,,,
14,2,3,1,"1","L1",,,,,,,
15,3,16,1,"846",,,,,,,,
16,3,17,2,"0.5",,,,,,,,
17,3,18,3,"2",,,,,,,,
18,19,5,1,"1",,,,,,,,
19,19,6,1,"1",,,,,,,,
20,19,21,1,"1",,,,,,,,
21,19,1,1,"0",,,,,,,,
22,1,20,1,"1",,,,,,,,
23,20,22,1,"1",,,,,,,,
24,1,23,9,"2",,,,,,,,
25,1,24,10,"5",,,,,,,,
26,1,25,11,"5",,,,,,,,
27,1,26,6,"1",,,,,,,,
29,1,28,3,"4",,,,,,,,
30,1,29,4,"6",,,,,,,,
31,1,30,7,"1",,,,,,,,
32,1,31,8,"1",,,,,,,,
33,1,32,5,"3",,,,,,,,
